Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"75155-1","Star Wars","Rogue One",2016,"Rebel U-wing Fighter",5,659,74.99,79.99,99.99,79.99,,673419248600,54.0004,28.194,5.8928,1.202019,"",0,0,0,,0,0,,,,,,,,,173.4300,122.2600,"30/09/2016","31/07/2018"
"75001-1","Star Wars","The Old Republic",2013,"Republic Troopers vs. Sith Troopers",4,63,11.99,12.99,15.99,,5702014974913,673419191562,15.7,14.1,4.5,0.1,"",0,0,0,,0,0,,,,,,,,,44.6100,25.5400,"01/01/2013","31/12/2014"
"21322-1","Ideas","",2020,"Pirates of Barracuda Bay",10,2545,179.99,199.99,259.99,199.99,5702016819601,673419333351,57.8,47.8,10.8,4.432,"",0,0,0,,0,0,,,,,,,,,305.9200,240.1000,"01/04/2020","31/12/2021"
"10188-1","Star Wars","Ultimate Collector Series",2008,"Death Star",24,3803,274.99,399.99,499.99,419.99,,673419130578,58.801,50.1904,17.6022,8.31,"",0,0,0,,0,0,,,,,,,,,636.0400,460.7500,"01/09/2008","31/12/2015"
"9676-1","Star Wars","Planet Set",2012,"TIE Interceptor & Death Star",1,65,9.99,9.99,12.99,,5702014841123,673419168083,14.1,19.1,8.79,0.15,"",0,0,0,,0,0,,,,,,,,,33.6900,18.3200,"01/01/2012","31/12/2012"
"8089-1","Star Wars","Episode V",2010,"Hoth Wampa Cave",3,297,35.99,39.99,54.99,,5702014601284,673419129060,38.2,26.19,5.64,0.59,"",0,0,0,,0,0,,,,,,,,,136.1200,66.8900,"01/06/2010","31/12/2011"
"21310-1","Ideas","",2017,"Old Fishing Store",4,2049,139.99,149.99,179.99,149.99,5702016041057,,47.8,37.3,10.9,,"",0,0,0,,0,0,,,,,,,,,418.0000,346.2200,"01/09/2017","31/12/2018"
"75945-1","Harry Potter","Prisoner of Azkaban",2019,"Expecto Patronum",4,121,19.99,19.99,24.99,19.49,5702016368468,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,24.2300,16.1700,"01/06/2019","31/12/2020"
"75003-1","Star Wars","Episode VI",2013,"A-wing Starfighter",3,177,24.99,24.99,29.99,,5702014974890,673419191548,26.2,19.1,6.1,0.34,"",0,0,0,,0,0,,,,,,,,,60.5400,32.6200,"01/01/2013","31/12/2014"
"4432-1","City","Great Vehicles",2012,"Garbage Truck",2,208,17.99,19.99,24.99,,5702014825116,673419196253,26.2,19.1,7.2,0.41,"",0,0,0,,0,0,,,,,,,,,80.1300,22.1700,"",""
"9492-1","Star Wars","Episode IV",2012,"TIE Fighter",4,413,49.99,54.99,69.99,,5702014840454,673419153782,35.4,37.8,7.1,0.78,"",0,0,0,,0,0,,,,,,,,,95.5000,45.4400,"01/01/2012","31/12/2013"
"75892-1","Speed Champions","McLaren",2019,"McLaren Senna",1,219,12.99,14.99,19.99,14.99,5702016370966,673419304528,19.1,14.1,6.1,0.25,"",0,0,0,,0,0,,,,,,,,,18.7400,13.6700,"01/01/2019","31/07/2021"
"75895-1","Speed Champions","Porsche",2019,"1974 Porsche 911 Turbo 3.0",1,180,12.99,14.99,19.99,14.99,5702016595468,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,26.1000,17.6900,"01/08/2019","31/07/2021"
"75074-1","Star Wars","Microfighters",2015,"Snowspeeder Microfighter",1,97,8.99,9.99,12.99,9.99,5702015349109,673419230278,14.097,12.192,4.5974,0.09525432,"",0,0,0,,0,0,,,,,,,,,16.5800,8.3500,"01/01/2015","31/12/2016"
"10224-1","Advanced models","Modular Buildings Collection",2012,"Town Hall",8,2766,149.99,199.99,249.99,,5702014846623,673419169073,48,58.2,12.7,,"",0,0,0,,0,0,,,,,,,,,813.2100,628.6600,"01/03/2012","31/12/2014"
"75172-1","Star Wars","Rogue One",2017,"Y-wing Starfighter",5,691,64.99,59.99,74.99,69.99,,673419265843,48.006,28.194,6.096,0.8663607,"",0,0,0,,0,0,,,,,,,,,138.1700,82.2100,"01/01/2017","31/12/2018"
"10275-1","Icons","Winter Village Collection",2020,"Elf Club House",4,1197,79.99,99.99,139.99,89.99,5702016668025,,47.6,28,7.2,1.324,"",0,0,0,,0,0,,,,,,,,,96.5000,88.8700,"01/10/2020","31/12/2022"
"71040-1","Disney","Disney Parks",2016,"Disney Castle",7,4080,309.99,349.99,399.99,349.99,5702015643597,,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,352.7100,245.5700,"01/09/2016","31/12/2022"
"75032-1","Star Wars","Microfighters",2014,"X-wing Fighter Microfighter",1,97,8.99,9.99,12.99,9.99,5702015121033,673419209236,14.097,12.192,4.5974,0.1,"",0,0,0,,0,0,,,,,,,,,24.9900,11.5600,"01/01/2014","31/07/2015"
"75318-1","Star Wars","The Mandalorian",2020,"The Child",1,1073,79.99,89.99,109.99,89.99,5702016928570,673419342131,26.2,38.2,11.8,,"",0,0,0,,0,0,,,,,,,,,64.8800,43.9100,"30/10/2020","31/12/2023"
"75035-1","Star Wars","Episode III",2014,"Kashyyyk Troopers",4,99,11.99,12.99,15.99,16.99,5702015121101,673419209304,19.1008,14.097,4.5974,0.12,"",0,0,0,,0,0,,,,,,,,,78.7200,48.9400,"01/01/2014","31/07/2015"
"9491-1","Star Wars","The Clone Wars",2012,"Geonosian Cannon",4,132,19.99,19.99,24.99,,5702014840447,673419167598,26.2,19.1,4.6,0.26,"",0,0,0,,0,0,,,,,,,,,66.4200,37.1500,"01/01/2012","31/12/2013"
"75243-1","Star Wars","Episode V",2019,"Slave I - 20th Anniversary Edition",5,1007,109.99,119.99,159.99,116.97,5702016370706,673419304139,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,189.3000,140.2900,"01/04/2019","31/12/2020"
"7915-1","Star Wars","Episode III",2011,"Imperial V-wing Starfighter",2,139,24.99,19.99,24.99,,5702014734272,673419144513,28.19,26.19,4.6,0.33,"",0,0,0,,0,0,,,,,,,,,58.1700,22.3100,"01/01/2011","31/12/2012"
"76895-1","Speed Champions","Ferrari",2020,"Ferrari F8 Tributo",1,275,17.99,19.99,24.99,19.99,5702016618310,673419319089,25.8,13.8,7.2,0.317,"",0,0,0,,0,0,,,,,,,,,32.6200,21.1600,"01/01/2020","31/12/2021"
"75270-1","Star Wars","Episode IV",2020,"Obi-Wan's Hut",4,200,24.99,29.99,39.99,29.99,5702016617160,673419318372,26.2,19.1,6.1,0.34,"",0,0,0,,0,0,,,,,,,,,35.7500,28.5900,"01/01/2020","31/12/2021"
"21302-1","Ideas","Licensed",2015,"The Big Bang Theory",7,484,49.99,59.99,69.99,59.99,5702015518895,,35,19,6,,"",0,0,0,,0,0,,,,,,,,,190.0300,141.0300,"01/08/2015","31/12/2016"
"9516-1","Star Wars","Episode VI",2012,"Jabba's Palace",9,717,119.99,119.99,149.99,,5702014841055,673419168007,58.2,37.8,8.7,1.76,"",0,0,0,,0,0,,,,,,,,,336.9200,266.2700,"01/06/2012","31/12/2013"
"75169-1","Star Wars","Episode I",2017,"Duel on Naboo",3,208,19.99,24.99,29.99,29.99,,673419265812,26.2128,19.1008,6.096,0.3719454,"",0,0,0,,0,0,,,,,,,,,68.2000,39.7700,"01/01/2017","31/12/2018"
"40410-1","Seasonal","Christmas",2020,"Charles Dickens Tribute",3,333,20.99,22.99,,24.99,5702016720143,,26.1,14.1,9.1,0.4,"",0,0,0,,0,0,,,,,,,,,27.4200,18.2800,"01/10/2020","31/12/2020"
"7956-1","Star Wars","Episode VI",2011,"Ewok Attack",3,166,25.99,24.99,34.99,,5702014736894,673419145848,28.19,26.19,4.6,0.32,"",0,0,0,,0,0,,,,,,,,,66.0600,30.2800,"01/06/2011","31/12/2012"
"10214-1","Advanced models","Landmarks",2010,"Tower Bridge",,4287,219.99,239.99,299.99,219.99,5702015013208,673419128971,58.2,48,12.7,4.35,"",0,0,0,,0,0,,,,,,,,,263.9300,166.6800,"01/10/2010","31/12/2012"
"8093-1","Star Wars","The Clone Wars",2010,"Plo Koon's Jedi Starfighter",2,175,25.99,24.99,34.99,,,673419129091,28.19,26.19,6.4,0.3,"",0,0,0,,0,0,,,,,,,,,156.0600,46.7200,"01/06/2010","31/12/2011"
"75333-1","Star Wars","Episode II",2022,"Obi-Wan Kenobi's Jedi Starfighter",3,282,29.99,29.99,39.99,34.99,5702017155593,673419357531,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,21.6000,18.6000,"01/08/2022","31/12/2024"
"75950-1","Harry Potter","Chamber of Secrets",2018,"Aragog's Lair",2,157,12.99,14.99,18.99,19.99,5702016110333,673419281935,19.1,14.1,4.6,0.16,"",0,0,0,,0,0,,,,,,,,,31.2400,15.9800,"01/08/2018","31/12/2019"
"75079-1","Star Wars","Battlefront",2015,"Shadow Troopers",4,95,11.99,12.99,15.99,16.99,5702015351140,673419230124,19.1008,14.097,4.5974,0.12258,"",0,0,0,,0,0,,,,,,,,,31.4200,19.7400,"01/01/2015","31/12/2016"
"75304-1","Star Wars","Helmet Collection",2021,"Darth Vader Helmet",,834,69.99,79.99,99.99,79.99,5702016914498,673419340854,19.1,35.4,11.8,,"",0,0,0,,0,0,,,,,,,,,62.7800,42.2500,"26/04/2021","31/12/2024"
"7235-1","City","Police",2005,"Police Motorcycle",1,28,3.99,3.99,4.99,,5702014428812,673419128377,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,11.6000,3.2500,"01/01/2005","31/12/2006"
"76386-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts: Polyjuice Potion Mistake",4,217,17.99,19.99,24.99,19.99,5702016913507,673419339735,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,17.0900,12.0400,"01/06/2021","31/12/2023"
"75200-1","Star Wars","Episode VIII",2018,"Ahch-To Island Training",2,241,25.99,29.99,34.99,29.99,5702016109948,673419281683,26.2,19.1,6.1,0.39,"",0,0,0,,0,0,,,,,,,,,39.6700,22.5000,"01/01/2018","31/12/2019"
"75089-1","Star Wars","Miscellaneous",2015,"Geonosis Troopers",4,105,11.99,12.99,15.99,16.99,5702015349505,673419230377,19.1008,14.097,4.5974,0.12258,"",0,0,0,,0,0,,,,,,,,,55.7000,37.8300,"01/01/2015","31/12/2016"
"75015-1","Star Wars","Episode II",2013,"Corporate Alliance Tank Droid",3,271,19.99,19.99,24.99,,5702014974838,673419191487,26.2,14.1,6.1,0.27,"",0,0,0,,0,0,,,,,,,,,122.3400,65.8400,"01/06/2013","31/12/2014"
"71006-1","The Simpsons","",2014,"The Simpsons House",6,2523,189.99,199.99,229.99,199.99,5702015115810,,58.2,48,12.4,3.62,"",0,0,0,,0,0,,,,,,,,,381.9200,280.9100,"01/02/2014","31/12/2017"
"6862-2","DC Comics Super Heroes","Superman",2012,"Superman vs. Power Armor Lex",3,207,19.99,19.99,24.99,,5702014842335,673419168366,19.1,26.2,6.1,0.32,"",0,0,0,,0,0,,,,,,,,,29.5100,15.7300,"01/01/2012","31/12/2013"
"7239-1","City","Fire",2005,"Fire Truck",2,214,14.99,22.99,29.99,,5702014428850,673419058049,38.4,19.2,7.2,0.44,"",0,0,0,,0,0,,,,,,,,,50.9800,13.4700,"",""
"75288-1","Star Wars","Episode V",2020,"AT-AT",6,1267,149.99,169.99,209.99,169.99,5702016617320,673419318532,58.2,37.8,8.7,1.78,"",0,0,0,,0,0,,,,,,,,,149.4200,120.3300,"01/08/2020","31/12/2023"
"75125-1","Star Wars","Microfighters",2016,"Resistance X-wing Fighter Microfighter",1,87,8.99,9.99,12.99,9.99,,673419247054,14.097,12.192,4.5974,0.09525432,"",0,0,0,,0,0,,,,,,,,,16.8600,7.5400,"01/01/2016","31/12/2017"
"71043-1","Harry Potter","Miscellaneous",2018,"Hogwarts Castle",28,6020,409.99,469.99,589.99,469.99,5702016110319,673419281911,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,360.7000,271.4500,"01/09/2018","31/12/2025"
"75156-1","Star Wars","Rogue One",2016,"Krennic's Imperial Shuttle",6,863,84.99,89.99,119.99,99.99,,673419248617,48.006,37.7952,7.0612,1.45603,"",0,0,0,,0,0,,,,,,,,,210.5300,170.2100,"30/09/2016","31/07/2018"
"7655-1","Star Wars","Episode III",2007,"Clone Troopers Battle Pack",4,58,8.99,9.99,,,5702014498761,673419090780,19.2,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,71.6400,47.0000,"01/01/2007","31/07/2008"
"6858-1","DC Comics Super Heroes","Batman",2012,"Catwoman Catcycle City Chase",2,89,11.99,12.99,15.99,,5702014842298,673419168335,19.1,14.1,4.6,0.11,"",0,0,0,,0,0,,,,,,,,,17.6200,10.3700,"01/01/2012","31/07/2013"
"75276-1","Star Wars","Helmet Collection",2020,"Stormtrooper Helmet",,647,54.99,59.99,79.99,59.99,5702016617214,673419318426,19.1,35.4,11.8,0.87,"",0,0,0,,0,0,,,,,,,,,131.4100,90.9900,"19/04/2020","31/12/2021"
"75052-1","Star Wars","Episode IV",2014,"Mos Eisley Cantina",8,615,64.99,69.99,89.99,79.99,5702015122436,673419210256,54.0004,28.194,5.8928,1.02,"",0,0,0,,0,0,,,,,,,,,124.7000,92.6000,"01/06/2014","31/12/2015"
"10236-1","Star Wars","Ultimate Collector Series",2013,"Ewok Village",17,1990,199.99,249.99,299.99,249.99,5702014974777,,58.1914,48.006,9.0932,3.15,"",0,0,0,,0,0,,,,,,,,,523.7300,495.0500,"01/09/2013","31/12/2016"
"75049-1","Star Wars","Episode V",2014,"Snowspeeder",3,278,34.99,29.99,39.99,39.99,5702015122405,673419210126,22.1996,26.1874,6.1976,0.44,"",0,0,0,,0,0,,,,,,,,,80.0500,46.1400,"01/06/2014","31/12/2015"
"75152-1","Star Wars","Rogue One",2016,"Imperial Assault Hovertank",3,385,29.99,29.99,39.99,39.99,,673419248570,35.4076,19.1008,7.0104,0.5760618,"",0,0,0,,0,0,,,,,,,,,85.8500,55.3300,"30/09/2016","31/12/2017"
"75136-1","Star Wars","Episode IV",2016,"Droid Escape Pod",4,197,19.99,24.99,29.99,29.99,5702015591775,673419247511,26.2128,19.1008,4.5974,0.3084426,"",0,0,0,,0,0,,,,,,,,,33.0000,19.4600,"01/01/2016","31/12/2016"
"10297-1","Icons","Modular Buildings Collection",2022,"Boutique Hotel",7,3066,199.99,229.99,289.99,229.99,5702017151847,673419355445,58.2,48,12.4,3.471,"",0,0,0,,0,0,,,,,,,,,171.7000,174.2700,"01/01/2022","31/12/2025"
"7654-1","Star Wars","Episode III",2007,"Droids Battle Pack",7,102,8.99,9.99,,,5702014499485,673419091237,19.2,14.4,4.8,0.12,"",0,0,0,,0,0,,,,,,,,,75.8900,38.7100,"01/01/2007","31/07/2008"
"75319-1","Star Wars","The Mandalorian",2021,"The Armorer's Mandalorian Forge",3,258,24.99,29.99,39.99,29.99,5702016989410,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,58.1100,49.3500,"01/09/2021","31/12/2022"
"21028-1","Architecture","Skylines",2016,"New York City",,598,44.99,59.99,74.99,49.99,5702015591218,673419247160,26.2,19.1,6.1,0.72,"",0,0,0,,0,0,,,,,,,,,43.1700,27.3300,"01/01/2016","31/12/2025"
"75193-1","Star Wars","MicroFighters",2018,"Millennium Falcon Microfighter",1,92,8.99,9.99,12.99,9.99,5702016109870,673419281614,14.1,12.2,4.6,0.113,"",0,0,0,,0,0,,,,,,,,,17.2500,9.3900,"01/01/2018","31/07/2019"
"60057-1","City","Great Vehicles",2014,"Camper Van",2,195,17.99,19.99,24.99,19.99,5702015115636,673419207560,26.1874,19.1008,6.096,0.43,"",0,0,0,,0,0,,,,,,,,,49.0000,14.5000,"",""
"3221-1","City","Traffic",2010,"LEGO City Truck",2,278,29.99,34.99,44.99,,5702014601871,673419129534,48.01,28.19,6.1,0.68,"",0,0,0,,0,0,,,,,,,,,138.2500,55.2600,"01/06/2010","31/12/2012"
"76908-1","Speed Champions","Lamborghini",2022,"Lamborghini Countach",1,262,19.99,19.99,29.99,24.99,5702017156729,673419358736,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,19.2300,11.6200,"01/03/2022","31/12/2024"
"75965-1","Harry Potter","Goblet of Fire",2019,"The Rise of Voldemort",6,184,19.99,19.99,24.99,19.49,5702016604139,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,30.3200,23.6800,"01/08/2019","31/12/2020"
"9675-1","Star Wars","Planet Set",2012,"Sebulba's Podracer & Tatooine",1,80,9.99,9.99,12.99,,5702014841116,673419168076,14.1,19.1,8.79,0.14,"",0,0,0,,0,0,,,,,,,,,20.8600,10.4900,"01/01/2012","31/12/2012"
"76102-1","Marvel Super Heroes","Avengers: Infinity War",2018,"Thor's Weapon Quest",3,223,19.99,19.99,24.99,24.99,5702016110401,673419282000,26.2,19.1,4.6,0.33,"",0,0,0,,0,0,,,,,,,,,43.1900,28.9500,"03/03/2018","31/07/2019"
"79003-1","The Hobbit","An Unexpected Journey",2012,"An Unexpected Gathering",6,652,59.99,69.99,84.99,,5702014961289,673419188258,48,28.2,6.1,1.14,"",0,0,0,,0,0,,,,,,,,,271.7700,218.7400,"01/12/2012","31/12/2014"
"75262-1","Star Wars","Miscellaneous",2019,"Imperial Dropship  – 20th Anniversary Edition",5,125,19.99,19.99,24.99,19.99,5702016371093,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,40.6300,28.8100,"01/04/2019","31/12/2019"
"75290-1","Star Wars","Master Builder Series",2020,"Mos Eisley Cantina",21,3187,344.99,399.99,499.99,399.99,5702016663495,673419321419,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,331.6100,257.9700,"01/10/2020","31/12/2024"
"21326-1","Ideas","Licensed",2021,"Winnie the Pooh",5,1265,89.99,99.99,139.99,99.99,5702016915648,673419341561,38,26,6.9,1.272,"",0,0,0,,0,0,,,,,,,,,93.1800,77.9600,"01/04/2021","31/12/2023"
"75956-1","Harry Potter","Philosopher's Stone",2018,"Quidditch Match",6,500,34.99,39.99,49.99,38.98,5702016160277,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,62.4200,41.5400,"01/08/2018","31/12/2020"
"75131-1","Star Wars","Episode VII",2016,"Resistance Trooper Battle Pack",4,112,11.99,12.99,15.99,16.99,,673419247115,19.1008,14.097,4.5974,0.1224698,"",0,0,0,,0,0,,,,,,,,,19.1600,13.1600,"01/01/2016","31/12/2017"
"75968-1","Harry Potter","Chamber of Secrets",2020,"4 Privet Drive",6,797,69.99,79.99,99.99,79.99,5702016616682,673419317900,38.2,26.2,9.4,0.92,"",0,0,0,,0,0,,,,,,,,,56.7800,38.2700,"01/06/2020","31/12/2023"
"75890-1","Speed Champions","Ferrari",2019,"Ferrari F40 Competizione",1,198,12.99,14.99,19.99,14.99,5702016370942,673419304504,19.1,14.1,6.1,0.22,"",0,0,0,,0,0,,,,,,,,,18.7100,12.3500,"01/01/2019","31/07/2021"
"60253-1","City","Great Vehicles",2020,"Ice-Cream Truck",2,200,17.99,19.99,24.99,19.99,5702016617870,673419319218,26,18.8,6,0.371,"",0,0,0,,0,0,,,,,,,,,13.1200,10.9300,"01/01/2020","31/12/2023"
"9470-1","The Lord of the Rings","The Return of the King",2012,"Shelob Attacks",3,227,19.99,19.99,24.99,,5702014837546,673419167031,26.2,19.1,6.1,0.3,"",0,0,0,,0,0,,,,,,,,,109.8900,59.2800,"01/06/2012","31/12/2013"
"75316-1","Star Wars","The Clone Wars",2021,"Mandalorian Starfighter",3,544,59.99,59.99,79.99,69.99,5702016914450,673419340786,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,92.3700,92.3600,"01/08/2021","31/12/2022"
"31058-1","Creator","3 in 1",2017,"Mighty Dinosaurs",,174,12.99,14.99,17.99,14.99,5702015867535,673419266482,26.2128,14.097,4.8006,0.2358678,"",0,0,0,,0,0,,,,,,,,,12.2900,7.0200,"",""
"75031-1","Star Wars","Microfighters",2014,"TIE Interceptor Microfighter",1,92,8.99,9.99,12.99,9.99,5702015121026,673419209229,14.097,12.192,4.5974,0.1,"",0,0,0,,0,0,,,,,,,,,19.8300,9.7200,"01/01/2014","31/07/2015"
"10259-1","Creator Expert","Winter Village Collection",2017,"Winter Village Station",5,902,74.99,79.99,99.99,69.99,5702015865302,,47.8,28.1,7.3,,"",0,0,0,,0,0,,,,,,,,,181.6900,173.6100,"01/10/2017","31/12/2018"
"75005-1","Star Wars","Episode VI",2013,"Rancor Pit",4,380,59.99,59.99,74.99,,5702014974876,673419191524,48,28.2,7.4,1.04,"",0,0,0,,0,0,,,,,,,,,275.4900,190.4300,"01/01/2013","31/12/2014"
"75295-1","Star Wars","MicroFighters",2021,"Millennium Falcon Microfighter",1,101,8.99,9.99,13.99,9.99,5702016912654,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,9.4700,6.0500,"01/01/2021","31/12/2022"
"60117-1","City","Great Outdoors",2016,"Van & Caravan",2,250,17.99,19.99,24.99,19.99,5702015594783,673419249881,26.2128,19.1008,6.096,0.4263765,"",0,0,0,,0,0,,,,,,,,,31.8100,13.6000,"01/01/2016","31/12/2017"
"75206-1","Star Wars","Episode II",2018,"Jedi and Clone Troopers Battle Pack",4,102,12.99,14.99,16.99,16.99,5702016109993,673419281737,19.1,14.1,4.6,0.13,"",0,0,0,,0,0,,,,,,,,,45.5200,31.0900,"20/04/2018","31/07/2019"
"75129-1","Star Wars","Microfighters",2016,"Wookiee Gunship Microfighter",1,84,8.99,9.99,12.99,9.99,,673419247092,14.097,12.192,4.5974,0.09525432,"",0,0,0,,0,0,,,,,,,,,17.6300,7.6800,"01/01/2016","31/12/2017"
"75104-1","Star Wars","Episode VII",2015,"Kylo Ren's Command Shuttle",6,1005,109.99,119.99,149.99,119.99,5702015352642,673419231602,48.006,37.7952,7.0612,1.750865,"",0,0,0,,0,0,,,,,,,,,102.9500,62.8900,"04/09/2015","31/12/2017"
"70818-1","The LEGO Movie","",2015,"Double-Decker Couch",5,197,14.99,14.99,17.99,16.99,5702015391573,673419237192,19.1008,14.097,6.096,0.2,"",0,0,0,,0,0,,,,,,,,,36.1400,26.2900,"01/01/2015","31/07/2015"
"75036-1","Star Wars","Episode III",2014,"Utapau Troopers",4,83,11.99,12.99,15.99,16.99,5702015121132,673419209335,19.1008,14.097,4.5974,0.11,"",0,0,0,,0,0,,,,,,,,,79.1000,69.0000,"01/01/2014","31/07/2015"
"60134-1","City","Park",2016,"People Pack - Fun in the Park",15,157,34.99,39.99,49.99,39.99,5702015594950,673419250153,26.2128,19.1008,4.5974,0.2630834,"",0,0,0,,0,0,,,,,,,,,43.3800,41.3100,"01/06/2016","31/12/2017"
"10293-1","Icons","Winter Village Collection",2021,"Santa's Visit",4,1445,89.99,99.99,139.99,99.99,5702016914313,673419340328,47.9,28,8.7,1.656,"",0,0,0,,0,0,,,,,,,,,86.3100,69.3200,"01/10/2021","31/12/2023"
"75128-1","Star Wars","MicroFighters",2016,"TIE Advanced Prototype Microfighter",1,93,8.99,9.99,12.99,9.99,,673419247085,14.097,12.192,4.5974,0.1043262,"",0,0,0,,0,0,,,,,,,,,18.1400,6.9400,"01/01/2016","31/12/2017"
"75135-1","Star Wars","Episode III",2016,"Obi-Wan's Jedi Interceptor",2,215,19.99,24.99,29.99,29.99,,673419247498,26.2128,19.1008,6.096,0.3674095,"",0,0,0,,0,0,,,,,,,,,95.8900,51.8800,"01/01/2016","31/12/2016"
"75054-1","Star Wars","Episode V",2014,"AT-AT",5,1137,109.99,109.99,129.99,119.99,5702015123778,673419210560,48.006,37.7952,7.0612,1.67,"",0,0,0,,0,0,,,,,,,,,165.8500,117.2100,"01/06/2014","31/12/2015"
"75182-1","Star Wars","The Clone Wars",2017,"Republic Fighter Tank",4,305,19.99,24.99,29.99,29.99,5702015868549,673419267564,26.2128,19.1008,6.096,0.3719454,"",0,0,0,,0,0,,,,,,,,,90.0900,46.5900,"01/06/2017","31/12/2018"
"21320-1","Ideas","",2019,"Dinosaur Fossils",2,910,54.99,59.99,79.99,59.99,5702016615586,673419317306,28.2,26.2,9.6,1,"",0,0,0,,0,0,,,,,,,,,74.2600,59.3500,"01/11/2019","31/12/2021"
"75259-1","Star Wars","Episode V",2019,"Snowspeeder – 20th Anniversary Edition",4,309,34.99,39.99,49.99,39.99,5702016370461,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,112.1300,82.5700,"01/04/2019","31/12/2019"
"75902-1","Scooby-Doo","",2015,"The Mystery Machine",3,301,29.99,29.99,39.99,34.99,5702015349710,673419230414,28.194,26.2128,5.8928,0.53118,"",0,0,0,,0,0,,,,,,,,,161.2200,91.4900,"01/08/2015","31/12/2016"
"7957-1","Star Wars","The Clone Wars",2011,"Sith Nightspeeder",3,214,25.99,24.99,34.99,,5702014736900,673419145855,28.19,26.19,4.6,0.32,"",0,0,0,,0,0,,,,,,,,,97.9900,41.0400,"01/06/2011","31/12/2012"
"76000-1","DC Comics Super Heroes","Batman",2013,"Arctic Batman vs. Mr. Freeze: Aquaman on Ice",3,198,19.99,19.99,24.99,,5702014967144,673419190381,26.2,19.1,6.1,0.38,"",0,0,0,,0,0,,,,,,,,,31.7900,16.0800,"01/01/2013","31/12/2014"
"21306-1","Ideas","Licensed",2016,"The Beatles Yellow Submarine",5,553,54.99,59.99,69.99,59.99,5702015735049,,26.2,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,155.3700,127.8900,"01/11/2016","31/12/2017"
"75969-1","Harry Potter","Half-Blood Prince",2020,"Hogwarts Astronomy Tower",8,971,89.99,99.99,139.99,99.99,5702016616699,673419317917,48,37.8,7.1,1.45,"",0,0,0,,0,0,,,,,,,,,66.6100,54.7900,"01/06/2020","31/12/2024"
"10258-1","Creator Expert","Vehicles",2017,"London Bus",,1686,109.99,139.99,179.99,119.99,5702015865296,,47.5,37.4,10.7,,"",0,0,0,,0,0,,,,,,,,,116.1700,92.3500,"01/08/2017","31/12/2021"
"75082-1","Star Wars","Rebels",2015,"TIE Advanced Prototype",3,355,39.99,39.99,49.99,49.99,5702015351157,673419230131,28.194,26.2128,5.8928,0.55388,"",0,0,0,,0,0,,,,,,,,,154.6300,82.9400,"01/01/2015","31/12/2016"
"7669-1","Star Wars","The Clone Wars",2008,"Anakin's Jedi Starfighter",2,153,21.49,19.99,,,5702014517387,673419102605,28.8,28.8,4.8,0.37,"",0,0,0,,0,0,,,,,,,,,100.2900,24.9400,"01/01/2008","31/12/2009"
"75198-1","Star Wars","Episode IV",2018,"Tatooine Battle Pack",4,97,12.99,14.99,16.99,16.99,5702016109924,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,26.8000,19.4700,"01/01/2018","31/12/2018"
"75139-1","Star Wars","Episode VII",2016,"Battle on Takodana",5,409,54.99,59.99,74.99,59.99,5702015592079,673419247801,38.2016,26.2128,5.6388,0.7166753,"",0,0,0,,0,0,,,,,,,,,49.8300,31.0600,"01/01/2016","31/12/2017"
"75173-1","Star Wars","Episode IV",2017,"Luke's Landspeeder",4,149,19.99,19.99,24.99,29.99,5702015867627,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,33.0100,22.5600,"01/01/2017","31/12/2018"
"8038-1","Star Wars","Episode VI",2009,"The Battle of Endor",12,890,84.99,99.99,129.99,,5702014533363,673419111904,58.2,37.8,8.7,1.54,"",0,0,0,,0,0,,,,,,,,,242.1200,171.8900,"01/06/2009","31/12/2011"
